# nThread 1 nGpus 1 minBytes 8 maxBytes 1073741824 step: 2(factor) warmup iters: 5 iters: 20 validation: 1 
#
# Using devices
#   Rank  0 Pid   5324 on msrhpc-msccl-000000 device  0 [0x00] A100-SXM4-40GB
#
#                                                       out-of-place                       in-place          
#       size         count      type   redop     time   algbw   busbw  error     time   algbw   busbw  error
#        (B)    (elements)                       (us)  (GB/s)  (GB/s)            (us)  (GB/s)  (GB/s)       
           8             2     float     sum     4.46    0.00    0.00  0e+00     0.48    0.02    0.00  0e+00
          16             4     float     sum     4.43    0.00    0.00  0e+00     0.48    0.03    0.00  0e+00
          32             8     float     sum     4.44    0.01    0.00  0e+00     0.48    0.07    0.00  0e+00
          64            16     float     sum     4.43    0.01    0.00  0e+00     0.48    0.13    0.00  0e+00
         128            32     float     sum     4.52    0.03    0.00  0e+00     0.48    0.27    0.00  0e+00
         256            64     float     sum     4.48    0.06    0.00  0e+00     0.48    0.53    0.00  0e+00
         512           128     float     sum     4.54    0.11    0.00  0e+00     0.46    1.11    0.00  0e+00
        1024           256     float     sum     4.48    0.23    0.00  0e+00     0.47    2.16    0.00  0e+00
        2048           512     float     sum     4.42    0.46    0.00  0e+00     0.48    4.30    0.00  0e+00
        4096          1024     float     sum     4.42    0.93    0.00  0e+00     0.46    8.97    0.00  0e+00
        8192          2048     float     sum     4.46    1.84    0.00  0e+00     0.46   17.93    0.00  0e+00
       16384          4096     float     sum     4.45    3.69    0.00  0e+00     0.46   35.86    0.00  0e+00
       32768          8192     float     sum     4.43    7.40    0.00  0e+00     0.45   72.20    0.00  0e+00
       65536         16384     float     sum     4.41   14.87    0.00  0e+00     0.47  138.73    0.00  0e+00
      131072         32768     float     sum     4.42   29.63    0.00  0e+00     0.45  289.12    0.00  0e+00
      262144         65536     float     sum     4.47   58.58    0.00  0e+00     0.47  553.75    0.00  0e+00
      524288        131072     float     sum     4.40  119.10    0.00  0e+00     0.47  1109.84    0.00  0e+00
     1048576        262144     float     sum     5.27  198.79    0.00  0e+00     0.48  2203.35    0.00  0e+00
     2097152        524288     float     sum     7.24  289.86    0.00  0e+00     0.48  4356.36    0.00  0e+00
     4194304       1048576     float     sum    10.79  388.75    0.00  0e+00     0.47  8859.96    0.00  0e+00
     8388608       2097152     float     sum    16.83  498.55    0.00  0e+00     0.47  17853.80    0.00  0e+00
    16777216       4194304     float     sum    29.00  578.48    0.00  0e+00     0.49  34560.13    0.00  0e+00
    33554432       8388608     float     sum    54.81  612.17    0.00  0e+00     0.48  70285.78    0.00  0e+00
    67108864      16777216     float     sum    105.4  636.85    0.00  0e+00     0.48  140424.49    0.00  0e+00
   134217728      33554432     float     sum    206.6  649.68    0.00  0e+00     0.48  282325.89    0.00  0e+00
   268435456      67108864     float     sum    408.3  657.39    0.00  0e+00     0.48  559357.07    0.00  0e+00
   536870912     134217728     float     sum    814.7  659.02    0.00  0e+00     0.47  1149985.89    0.00  0e+00
  1073741824     268435456     float     sum   1621.9  662.04    0.00  0e+00     0.46  2322357.14    0.00  0e+00
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 0 
#
