# nThread 1 nGpus 2 minBytes 8 maxBytes 1073741824 step: 2(factor) warmup iters: 5 iters: 20 validation: 1 
#
# Using devices
#   Rank  0 Pid   5348 on msrhpc-msccl-000000 device  0 [0x00] A100-SXM4-40GB
#   Rank  1 Pid   5348 on msrhpc-msccl-000000 device  1 [0x00] A100-SXM4-40GB
#
#                                                       out-of-place                       in-place          
#       size         count      type   redop     time   algbw   busbw  error     time   algbw   busbw  error
#        (B)    (elements)                       (us)  (GB/s)  (GB/s)            (us)  (GB/s)  (GB/s)       
           8             2     float     sum     8.64    0.00    0.00  0e+00     8.66    0.00    0.00  0e+00
          16             4     float     sum     8.64    0.00    0.00  0e+00     8.57    0.00    0.00  0e+00
          32             8     float     sum     8.80    0.00    0.00  0e+00     8.63    0.00    0.00  0e+00
          64            16     float     sum     8.63    0.01    0.01  0e+00     8.60    0.01    0.01  0e+00
         128            32     float     sum     8.91    0.01    0.01  0e+00     8.62    0.01    0.01  0e+00
         256            64     float     sum     8.59    0.03    0.03  0e+00     8.75    0.03    0.03  0e+00
         512           128     float     sum     8.59    0.06    0.06  0e+00     8.59    0.06    0.06  0e+00
        1024           256     float     sum     8.70    0.12    0.12  0e+00     8.78    0.12    0.12  0e+00
        2048           512     float     sum     8.93    0.23    0.23  0e+00     8.62    0.24    0.24  0e+00
        4096          1024     float     sum     9.28    0.44    0.44  0e+00     8.95    0.46    0.46  0e+00
        8192          2048     float     sum    10.27    0.80    0.80  0e+00     9.90    0.83    0.83  0e+00
       16384          4096     float     sum    14.91    1.10    1.10  0e+00    14.63    1.12    1.12  0e+00
       32768          8192     float     sum    17.84    1.84    1.84  0e+00    17.37    1.89    1.89  0e+00
       65536         16384     float     sum    24.15    2.71    2.71  0e+00    22.80    2.87    2.87  0e+00
      131072         32768     float     sum    34.41    3.81    3.81  0e+00    34.27    3.82    3.82  0e+00
      262144         65536     float     sum    46.44    5.64    5.64  0e+00    46.54    5.63    5.63  0e+00
      524288        131072     float     sum    48.88   10.73   10.73  0e+00    48.62   10.78   10.78  0e+00
     1048576        262144     float     sum    60.14   17.44   17.44  0e+00    61.49   17.05   17.05  0e+00
     2097152        524288     float     sum    68.16   30.77   30.77  0e+00    67.47   31.08   31.08  0e+00
     4194304       1048576     float     sum    81.48   51.48   51.48  0e+00    81.36   51.55   51.55  0e+00
     8388608       2097152     float     sum    103.8   80.80   80.80  0e+00    103.3   81.20   81.20  0e+00
    16777216       4194304     float     sum    139.2  120.53  120.53  0e+00    137.0  122.45  122.45  0e+00
    33554432       8388608     float     sum    229.7  146.11  146.11  0e+00    226.4  148.23  148.23  0e+00
    67108864      16777216     float     sum    392.8  170.85  170.85  0e+00    391.3  171.51  171.51  0e+00
   134217728      33554432     float     sum    735.5  182.49  182.49  0e+00    735.0  182.60  182.60  0e+00
   268435456      67108864     float     sum   1391.7  192.88  192.88  0e+00   1390.7  193.02  193.02  0e+00
   536870912     134217728     float     sum   2700.2  198.82  198.82  0e+00   2690.0  199.58  199.58  0e+00
  1073741824     268435456     float     sum   5174.7  207.50  207.50  0e+00   5183.9  207.13  207.13  0e+00
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 51.0804 
#
