# nThread 1 nGpus 4 minBytes 8 maxBytes 1073741824 step: 2(factor) warmup iters: 5 iters: 20 validation: 1 
#
# Using devices
#   Rank  0 Pid   5376 on msrhpc-msccl-000000 device  0 [0x00] A100-SXM4-40GB
#   Rank  1 Pid   5376 on msrhpc-msccl-000000 device  1 [0x00] A100-SXM4-40GB
#   Rank  2 Pid   5376 on msrhpc-msccl-000000 device  2 [0x00] A100-SXM4-40GB
#   Rank  3 Pid   5376 on msrhpc-msccl-000000 device  3 [0x00] A100-SXM4-40GB
#
#                                                       out-of-place                       in-place          
#       size         count      type   redop     time   algbw   busbw  error     time   algbw   busbw  error
#        (B)    (elements)                       (us)  (GB/s)  (GB/s)            (us)  (GB/s)  (GB/s)       
           8             2     float     sum    17.19    0.00    0.00  1e-07    16.63    0.00    0.00  0e+00
          16             4     float     sum    16.23    0.00    0.00  3e-08    17.29    0.00    0.00  3e-08
          32             8     float     sum    17.47    0.00    0.00  3e-08    16.12    0.00    0.00  3e-08
          64            16     float     sum    16.25    0.00    0.01  3e-08    16.51    0.00    0.01  3e-08
         128            32     float     sum    16.19    0.01    0.01  3e-08    16.12    0.01    0.01  3e-08
         256            64     float     sum    17.79    0.01    0.02  3e-08    16.76    0.02    0.02  3e-08
         512           128     float     sum    16.28    0.03    0.05  3e-08    17.01    0.03    0.05  1e-08
        1024           256     float     sum    16.97    0.06    0.09  1e-07    16.32    0.06    0.09  1e-07
        2048           512     float     sum    16.84    0.12    0.18  1e-07    16.69    0.12    0.18  1e-07
        4096          1024     float     sum    16.35    0.25    0.38  2e-07    16.25    0.25    0.38  2e-07
        8192          2048     float     sum    17.45    0.47    0.70  2e-07    16.38    0.50    0.75  2e-07
       16384          4096     float     sum    16.66    0.98    1.48  2e-07    16.64    0.98    1.48  2e-07
       32768          8192     float     sum    20.06    1.63    2.45  2e-07    19.73    1.66    2.49  2e-07
       65536         16384     float     sum    22.61    2.90    4.35  2e-07    21.79    3.01    4.51  2e-07
      131072         32768     float     sum    27.73    4.73    7.09  2e-07    27.65    4.74    7.11  2e-07
      262144         65536     float     sum    40.14    6.53    9.80  2e-07    39.61    6.62    9.93  2e-07
      524288        131072     float     sum    54.27    9.66   14.49  2e-07    53.19    9.86   14.78  2e-07
     1048576        262144     float     sum    65.54   16.00   24.00  2e-07    65.98   15.89   23.84  2e-07
     2097152        524288     float     sum    72.98   28.74   43.10  2e-07    74.96   27.98   41.97  2e-07
     4194304       1048576     float     sum    88.42   47.44   71.15  2e-07    89.24   47.00   70.50  2e-07
     8388608       2097152     float     sum    131.2   63.93   95.90  2e-07    128.0   65.53   98.29  2e-07
    16777216       4194304     float     sum    187.3   89.57  134.36  2e-07    187.1   89.67  134.50  2e-07
    33554432       8388608     float     sum    279.9  119.88  179.82  2e-07    278.6  120.45  180.67  2e-07
    67108864      16777216     float     sum    517.8  129.60  194.40  2e-07    518.3  129.49  194.23  2e-07
   134217728      33554432     float     sum    952.8  140.86  211.29  2e-07    952.5  140.91  211.36  2e-07
   268435456      67108864     float     sum   1864.5  143.97  215.96  2e-07   1862.7  144.11  216.16  2e-07
   536870912     134217728     float     sum   3632.1  147.81  221.72  2e-07   3631.4  147.84  221.76  2e-07
  1073741824     268435456     float     sum   7161.3  149.94  224.91  2e-07   7162.2  149.92  224.88  2e-07
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 59.2439 
#
