# nThread 1 nGpus 8 minBytes 8 maxBytes 1073741824 step: 2(factor) warmup iters: 5 iters: 20 validation: 1 
#
# Using devices
#   Rank  0 Pid   5412 on msrhpc-msccl-000000 device  0 [0x00] A100-SXM4-40GB
#   Rank  1 Pid   5412 on msrhpc-msccl-000000 device  1 [0x00] A100-SXM4-40GB
#   Rank  2 Pid   5412 on msrhpc-msccl-000000 device  2 [0x00] A100-SXM4-40GB
#   Rank  3 Pid   5412 on msrhpc-msccl-000000 device  3 [0x00] A100-SXM4-40GB
#   Rank  4 Pid   5412 on msrhpc-msccl-000000 device  4 [0x00] A100-SXM4-40GB
#   Rank  5 Pid   5412 on msrhpc-msccl-000000 device  5 [0x00] A100-SXM4-40GB
#   Rank  6 Pid   5412 on msrhpc-msccl-000000 device  6 [0x00] A100-SXM4-40GB
#   Rank  7 Pid   5412 on msrhpc-msccl-000000 device  7 [0x00] A100-SXM4-40GB
#
#                                                       out-of-place                       in-place          
#       size         count      type   redop     time   algbw   busbw  error     time   algbw   busbw  error
#        (B)    (elements)                       (us)  (GB/s)  (GB/s)            (us)  (GB/s)  (GB/s)       
           8             2     float     sum    33.42    0.00    0.00  1e-07    33.71    0.00    0.00  1e-07
          16             4     float     sum    31.43    0.00    0.00  1e-07    32.95    0.00    0.00  1e-07
          32             8     float     sum    32.58    0.00    0.00  6e-08    32.34    0.00    0.00  6e-08
          64            16     float     sum    32.52    0.00    0.00  6e-08    32.59    0.00    0.00  6e-08
         128            32     float     sum    33.38    0.00    0.01  6e-08    31.98    0.00    0.01  6e-08
         256            64     float     sum    32.96    0.01    0.01  3e-08    33.62    0.01    0.01  3e-08
         512           128     float     sum    31.04    0.02    0.03  3e-08    33.26    0.02    0.03  3e-08
        1024           256     float     sum    32.65    0.03    0.05  1e-07    32.09    0.03    0.06  1e-07
        2048           512     float     sum    32.89    0.06    0.11  2e-07    32.33    0.06    0.11  2e-07
        4096          1024     float     sum    34.04    0.12    0.21  2e-07    32.03    0.13    0.22  2e-07
        8192          2048     float     sum    33.93    0.24    0.42  2e-07    33.72    0.24    0.43  2e-07
       16384          4096     float     sum    31.53    0.52    0.91  2e-07    33.57    0.49    0.85  2e-07
       32768          8192     float     sum    32.25    1.02    1.78  2e-07    31.75    1.03    1.81  2e-07
       65536         16384     float     sum    34.93    1.88    3.28  2e-07    32.85    1.99    3.49  2e-07
      131072         32768     float     sum    38.62    3.39    5.94  2e-07    36.65    3.58    6.26  2e-07
      262144         65536     float     sum    44.06    5.95   10.41  2e-07    44.49    5.89   10.31  2e-07
      524288        131072     float     sum    54.63    9.60   16.80  2e-07    58.96    8.89   15.56  2e-07
     1048576        262144     float     sum    72.48   14.47   25.32  2e-07    74.13   14.15   24.75  2e-07
     2097152        524288     float     sum    87.86   23.87   41.77  2e-07    88.11   23.80   41.65  2e-07
     4194304       1048576     float     sum    105.1   39.89   69.82  2e-07    105.5   39.75   69.57  2e-07
     8388608       2097152     float     sum    149.8   55.99   97.98  2e-07    149.4   56.14   98.24  2e-07
    16777216       4194304     float     sum    237.0   70.79  123.89  2e-07    236.8   70.84  123.97  2e-07
    33554432       8388608     float     sum    357.7   93.79  164.14  2e-07    359.0   93.47  163.57  2e-07
    67108864      16777216     float     sum    565.2  118.73  207.78  2e-07    565.1  118.76  207.84  2e-07
   134217728      33554432     float     sum   1110.2  120.89  211.56  2e-07   1110.7  120.84  211.46  2e-07
   268435456      67108864     float     sum   2092.7  128.27  224.48  2e-07   2092.0  128.32  224.55  2e-07
   536870912     134217728     float     sum   4134.3  129.86  227.25  2e-07   4137.3  129.76  227.09  2e-07
  1073741824     268435456     float     sum   8135.8  131.98  230.96  2e-07   8136.1  131.97  230.95  2e-07
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 59.4234 
#
